FEN,Next move
rnb2k1q/3ppp2/7b/1N3Bpr/QP3Pn1/P7/2PPN1R1/1RBK4 b - - 2 24,a8a4
1rbq1b1r/ppp1k3/Q1npp1p1/5p1p/1PPP4/P3P1P1/R1B1KP1P/1NB3NR b - - 1 19,b7a6
r2qkbnr/p1pbpppp/3p4/1pn5/1P4P1/2NP4/P1P1PP1P/R1BQKBNR w KQkq - 1 6,b4c5
rnb5/3pbp2/3k1n1r/pp4pp/2P2Pq1/K1NpB2N/PP2P1BP/R5R1 w - - 0 21,c3b5
r3kbnr/7p/qpnp1pp1/R1p1p3/4P1QP/5NPR/1PPP1P2/1NB1KB2 b kq - 2 12,a6a5
r2k1b2/p1qppp1r/npbp3p/P1n1B3/1RP3p1/NP1P3P/4P1B1/4K1N1 w - - 0 24,a3b5
2rk1bnr/N3pp2/1p2b3/1pp3Pp/5q2/P1NP4/R1P1P1P1/2QK1B2 w - - 1 23,c1f4
r1bqkr2/ppppnp2/2n1p1p1/P3N3/1bP1P3/3P1P2/1PQ1K1pP/1RB2BNR w q - 3 16,f1g2
rnbqkbr1/2p1pp1p/1p1p1np1/pP1P4/P6P/1QP5/4PPPR/RNB1KBN1 b Qq - 1 9,c8b7
2b1kbnr/rpp2p2/pQ2q3/3pp1pp/1n1P4/2P2N2/PP2PPPP/R1B1KBNR w KQk - 6 11,b6e6
1rbq1b1r/1p1p1k2/p3pp1p/2pP3P/1P1n1PR1/1Q4P1/P1P1PN2/RN1K1B2 w - - 4 20,b3d3
4kbnr/rppqppp1/7p/pb6/PP1P1P1P/3PBN2/4KPPR/RN2QB2 b k - 2 17,a5b4
1n1qkb1r/1ppn2pp/3r1p2/1B1ppP2/P7/Bp3PNR/1QPP2PP/4K1NR w k - 1 18,b2b3
1nb1kb1r/2p2pp1/1p1Npq2/2Pp2n1/p4N1p/P7/1P1P2PP/R1BQKB1R b KQk - 0 15,c7d6
r1bqkbnr/p2pp1p1/Bp5p/2p1np2/4PN2/2P5/PP1PKPPP/RNBQ3R w kq - 0 7,a6c8
1rbq3r/1p1pk1p1/2np3p/p3pn2/4p3/2PP2P1/PP2NPBP/RN2R1K1 w - - 0 18,d3e4
5knr/1p2p2B/p2qbp1b/2Pr2P1/3P4/P1P1PN2/1B2Q3/RN2K3 b Q - 0 25,d6g3
rnb2bn1/3pk1p1/1ppqpp2/pB5r/1P2PP1P/B2P2R1/P1P5/RN1QK1N1 b Q - 1 17,h5b5
rn1k2nr/4p1bp/2p1b3/3p1pp1/pp1P2PP/R1PqB2N/4PP2/1N1QKBR1 w - - 0 16,d1d3
1rbq2n1/2pp2p1/p1nb1kBr/2P1Npp1/1P3P1P/P3P3/6PB/RN3RK1 b - - 2 23,d6e5
2b3r1/rp6/n1p2P1p/p3B1k1/PPP1p3/3Pn2P/4P3/RN2KBNR w - - 1 25,b1d2
r5n1/pppb1kbr/2n1ppq1/1P1p2P1/2P3P1/P2RP3/R2P4/1NBQKBN1 b - - 0 20,c6e5
rn1q1bnr/1b5p/ppk5/2Np4/2B2p2/1PP1P2Q/P2PKPR1/RNB5 w - - 1 18,h3e6
rnb2knr/pp4qp/3p1p1Q/N3b2P/1P1pP1R1/2PB1PP1/P7/R1B2KN1 b - - 3 22,g8h6
3knb1r/Npq1p2p/n2P1pp1/p1p5/P2P1P2/R3r2N/1PKQP1PP/2B2B1R b - - 5 16,e8d6
1nbrk3/2p5/rp2p2b/p2P1B1p/3P2pN/P1P1N1P1/1P3n2/R2Q1KR1 w - - 4 24,f5g6
r1bqkb2/ppppp3/n4pp1/P2r1PP1/1PPPn2p/N7/2QBP2P/R3KBNR b KQ - 0 15,d5d4
1rb1qbnr/p1pkpppp/1p6/3p4/1n5P/2PPPP2/PP4P1/RNBQKBNR w KQ - 3 8,c3b4
2r1kbn1/pp2q1pr/1n2pp1p/1P2p1P1/b1p1PP2/B2P4/P1PN1K1P/R1NQ3R b - - 3 21,e7a3
rnbq1bnr/2ppk2p/8/pp2p1p1/2P2pP1/3P3N/PP2PP1P/RNBQKB1R w KQ - 2 9,f1g2
rnbqkb1r/p1p1pppp/3p1n2/1p6/3N4/PP2P3/2PP1PPP/RNBQKB1R w KQkq - 0 6,f1b5
r1bR4/pppp4/3k4/4N3/P1PPnp2/8/4P1PP/nNBQKBR1 w - - 1 19,d8e8
rnb1k1nr/p2pbp1p/1p4p1/4P3/1p4q1/P3Q1PB/2PP4/RNB1K1NR w Qkq - 4 18,h3g4
r1q2knr/1pN2p1p/2n5/p2pp1p1/P2P4/bP5P/1BP2PP1/1RQ1KBNR b K - 4 13,a3b2
