run,fen,model,llm_bestmove,fen_valid,llm_move_valid
,1Q1Q3b/8/7N/1P6/qR5R/1B1r2Kb/8/bNk5 w - - 0 1,qwen25,d2d4,True,False
,NN6/Qr1bP3/1pKq3r/3BbP1k/4Q3/1r1rQ3/6p1/B2Rq2r w - - 0 1,qwen25,d5d4,True,False
,2n4k/n4q2/1q5P/bq1R4/7n/8/1Q6/1K4Q1 w - - 0 1,qwen25,d5d4,True,True
,2B5/rQ2K3/7q/B6p/n4rB1/1q1PNP2/2QR1n2/k1q2RR1 w - - 0 1,qwen25,h7h6,True,False
,2b5/2b2rr1/R6N/n7/p2r4/8/8/2k2K2 w - - 0 1,qwen25,d7d5,True,False
,qb1Q4/2R4b/4nK2/Qn2k3/6pQ/2B1p3/4Nr1B/4NRrr w - - 0 1,qwen25,d5d4,True,False
,2b5/3P3p/2Nk4/nn2rB1b/Pp6/bP3P2/5n2/2qB3K w - - 0 1,qwen25,d7d5,True,False
,3n3n/k2B3N/7B/1r6/8/N5K1/5N2/1r6 w - - 0 1,qwen25,d5d4,True,False
,2k5/1K2r1N1/2q5/1q3N2/3B4/1b2q3/5N1N/4B3 w - - 0 1,qwen25,d2d4,True,False
,2r1QR2/4b3/1Bp4Q/2kPP1B1/2K2B2/8/r1n2rq1/q1B5 w - - 0 1,qwen25,d7d5,True,False
,8/4nk2/2Q5/2p2RKQ/1B1p2q1/8/8/3B1N2 w - - 0 1,qwen25,d7d5,True,False
,1b6/N2rN3/1Qnrp1K1/3b1p2/2N1B3/1Bnkn3/3n4/2R1B1q1 w - - 0 1,qwen25,d7d5,True,False
,8/3n3K/8/PP6/8/k2bB3/1B2q3/8 w - - 0 1,qwen25,d2d4,True,False
,1q2N3/3k1B1P/1b2Q3/NK6/7Q/5p2/7n/3RR3 w - - 0 1,qwen25,d8d7,True,False
,1q1KR2B/4r3/2R1q3/8/1p1R1k2/2Nb4/1q6/4B2Q w - - 0 1,qwen25,d7d5,True,False
,4n1n1/n2n4/B1p5/R7/k1RK4/2Q5/8/2q3rb w - - 0 1,qwen25,d5d4,True,False
,2n5/1n1P1q2/Nbq2b2/4kPrb/3P2b1/P2rr3/1p6/3Kr3 w - - 0 1,qwen25,d2d4,True,False
,4n3/8/8/1rK5/1P3P2/6k1/4R3/4n3 w - - 0 1,qwen25,d2d4,True,False
,QK6/3q4/3n4/2P5/B6R/4kr2/8/8 w - - 0 1,qwen25,d2d4,True,False
,6Q1/1Q3p2/3K4/8/n1Q2qR1/8/p7/1k5R w - - 0 1,qwen25,h7h8,True,False
,1bq2N2/qR1RP1QP/3Qq2n/K7/4Q2k/2B4B/7q/r3Q3 w - - 0 1,qwen25,d5d4,True,False
,3B4/1b2b3/8/8/1R1KPQ2/1q2PR2/2k1p3/7Q w - - 0 1,qwen25,d5d4,True,False
,n1N4r/2p1b2P/5q1B/3B2q1/2bK3q/r7/bQpk4/1b2b2N w - - 0 1,qwen25,d8c6,True,False
,1N4n1/8/8/8/nk6/5K2/6p1/7b w - - 0 1,qwen25,d7d5,True,False
,2BQ4/5B2/1k6/1Pn2n2/1K6/b4r2/4R3/5B2 w - - 0 1,qwen25,d2d4,True,False
,3n2q1/K3R3/8/3N4/4QP2/8/8/3k1q2 w - - 0 1,qwen25,d5d4,True,False
,N3k3/3b4/2QP4/1bqP1nb1/4b3/3Kr2q/1n2R1n1/R2R1n1n w - - 0 1,qwen25,d5d4,True,False
,5R2/8/4r1P1/1R3R2/8/8/4B1rK/5kr1 w - - 0 1,qwen25,h7h6,True,False
,5k2/P7/4r3/B7/1K1q4/3B2r1/1p1Q1b2/4r2n w - - 0 1,qwen25,d5d4,True,False
,5R2/7P/5n2/qrN1K1k1/4N3/QB2b3/3b3q/n3N3 w - - 0 1,qwen25,d5d4,True,False
,3Q2q1/3p4/1K1n4/7R/2B3B1/8/3N4/4n2k w - - 0 1,qwen25,h7h6,True,False
,8/3K1kr1/4n1N1/P7/7b/5B2/P7/7R w - - 0 1,qwen25,h7h5,True,False
,8/K3r3/8/2B2N2/5k1p/5n2/8/8 w - - 0 1,qwen25,d2d4,True,False
,4QrK1/p1r3Q1/4P1N1/4q3/7R/4N1Q1/3k1q2/3R4 w - - 0 1,qwen25,h8g6,True,False
,6qq/k5K1/1p4N1/3N2Q1/2r3r1/8/1R6/1Q6 w - - 0 1,qwen25,h7h5,True,False
,6N1/1kr4n/3R1R2/Q7/8/5p2/1K5r/8 w - - 0 1,qwen25,d5d4,True,False
,1K2n1n1/2k5/8/1p6/3q1P2/8/6qP/n7 w - - 0 1,qwen25,d5d4,True,False
,R2N1k2/4p1q1/4Q3/2N5/n3Rb2/2P3nb/8/3Kr2q w - - 0 1,qwen25,d5d4,True,False
,4nN2/4N3/5b1n/2r5/2p3k1/6Pq/3K3B/7B w - - 0 1,qwen25,d5d4,True,False
,8/N3P2R/1Nq2b2/k7/4qP2/3K1b2/3r4/6R1 w - - 0 1,qwen25,d5d4,True,False
,1R2Q3/1K2r3/2N4p/n2p2n1/6q1/Qq4pk/1n5P/1B3Q2 w - - 0 1,qwen25,d7d5,True,False
,5K2/5Q2/8/2R5/5pB1/B7/4kP1R/8 w - - 0 1,qwen25,h7h6,True,False
,N2b2B1/1k2n3/Rb3p2/R6B/3N3N/2n1PK2/3nBQ2/r1QQ4 w - - 0 1,qwen25,d5d4,True,False
,2q2q2/3Br2n/4n1k1/1b6/1b1rNPn1/3P1PR1/bRNK4/3N1bqq w - - 0 1,qwen25,d5d4,True,False
,r4BQ1/2qr1N2/1b1p2K1/2N5/1RRQ1Qk1/1bP2n2/N6b/2B5 w - - 0 1,qwen25,d2d4,True,False
,7K/n7/8/2Q4B/8/8/4k3/3rQ3 w - - 0 1,qwen25,d5d4,True,False
,3Bb3/1B4Kn/qr1N3k/8/1p1P2p1/4RR2/1q6/qRb4B w - - 0 1,qwen25,d7d5,True,False
,1R1N4/3PpbBB/5K2/1q1B4/1r2B3/8/n2N4/1k3N1R w - - 0 1,qwen25,d7d5,True,False
,1q2Q3/6p1/6k1/1pN4b/3N4/1r3R2/2R5/Kn6 w - - 0 1,qwen25,d7d5,True,False
,2RR1n2/8/8/QQ4n1/R3N3/q1R3pK/Rbk3q1/q1n1R3 w - - 0 1,qwen25,d5d4,True,False
,bnN5/2r1pkN1/2r5/1q5b/rpqq1N1B/R1p5/2NK4/2r4Q w - - 0 1,qwen25,d7d5,True,False
,3n4/8/3bB1k1/r7/1q6/1b2B3/BB6/1K6 w - - 0 1,qwen25,d5d4,True,False
,8/4Q1k1/1pq5/2q4R/p7/1K3P2/8/5BB1 w - - 0 1,qwen25,g1f3,True,False
,1q5r/8/2R4K/1B6/8/4R3/b3k1R1/qQ1B4 w - - 0 1,qwen25,d7d5,True,False
,1n1K4/8/4rq2/k7/8/8/3Q4/6N1 w - - 0 1,qwen25,d5d4,True,False
,7r/k7/3p4/6p1/7B/6R1/6b1/1Q1K4 w - - 0 1,qwen25,h7h8,True,False
,4RR2/B7/1n4k1/b1P5/5K2/8/3rn2R/7Q w - - 0 1,qwen25,h7h8,True,False
,8/8/4q2Q/p7/2Q1K3/4nq2/2Qr1Q2/k7 w - - 0 1,qwen25,d5d4,True,False
,k4Q1b/6b1/K4N1n/6q1/6B1/4BbP1/4B2r/3N1Qn1 w - - 0 1,qwen25,h7h5,True,False
,4q3/b1Q5/1N1Q1q1K/1q6/2b3P1/2n5/2b2k1b/r4N2 w - - 0 1,qwen25,d7d5,True,False
,1bn3k1/b4N1R/2q3b1/3P4/pK1Q2P1/5N2/3qR1rn/b6b w - - 0 1,qwen25,d5d4,True,False
,5N1B/1kR4r/1B1nKq2/1b4Q1/1q6/8/1n4BP/q3N3 w - - 0 1,qwen25,d7d5,True,False
,4qR2/8/qNP1bK2/2r5/1PqBn3/8/kq6/8 w - - 0 1,qwen25,g7g5,True,False
,2q1Rqb1/P5kp/r2N4/R2N1Pr1/5r2/NP1K4/2p1B3/8 w - - 0 1,qwen25,d7d5,True,False
,rb3kq1/r1Rp2b1/8/8/3p1r1N/5nN1/nbP4P/1r2rn1K w - - 0 1,qwen25,d5d4,True,False
,1bqq4/b7/1KN5/Br1B4/b4Np1/3r1Q2/B1b4k/Nb4bN w - - 0 1,qwen25,d5d4,True,False
,1b4Q1/8/3P1qN1/5KQ1/5n2/1N1r2k1/4b3/2Nr3n w - - 0 1,qwen25,d7d5,True,False
