fen,dataset_next_move,side_to_move,stockfish_bestmove,score_before,score_after,delta
rnb2k1q/3ppp2/7b/1N3Bpr/QP3Pn1/P7/2PPN1R1/1RBK4 b - - 2 24,a8a4,black,a8a4,516,493,-23
1rbq1b1r/ppp1k3/Q1npp1p1/5p1p/1PPP4/P3P1P1/R1B1KP1P/1NB3NR b - - 1 19,b7a6,black,b7a6,543,514,-29
r2qkbnr/p1pbpppp/3p4/1pn5/1P4P1/2NP4/P1P1PP1P/R1BQKBNR w KQkq - 1 6,b4c5,white,b4c5,357,353,-4
rnb5/3pbp2/3k1n1r/pp4pp/2P2Pq1/K1NpB2N/PP2P1BP/R5R1 w - - 0 21,c3b5,white,c3b5,-307,-337,-30
r3kbnr/7p/qpnp1pp1/R1p1p3/4P1QP/5NPR/1PPP1P2/1NB1KB2 b kq - 2 12,a6a5,black,a6a5,-9,-3,6
r2k1b2/p1qppp1r/npbp3p/P1n1B3/1RP3p1/NP1P3P/4P1B1/4K1N1 w - - 0 24,a3b5,white,a3b5,-938,-945,-7
2rk1bnr/N3pp2/1p2b3/1pp3Pp/5q2/P1NP4/R1P1P1P1/2QK1B2 w - - 1 23,c1f4,white,c1f4,589,619,30
r1bqkr2/ppppnp2/2n1p1p1/P3N3/1bP1P3/3P1P2/1PQ1K1pP/1RB2BNR w q - 3 16,f1g2,white,f1g2,-520,-519,1
rnbqkbr1/2p1pp1p/1p1p1np1/pP1P4/P6P/1QP5/4PPPR/RNB1KBN1 b Qq - 1 9,c8b7,black,c8b7,167,166,-1
2b1kbnr/rpp2p2/pQ2q3/3pp1pp/1n1P4/2P2N2/PP2PPPP/R1B1KBNR w KQk - 6 11,b6e6,white,b6e6,322,322,0
1rbq1b1r/1p1p1k2/p3pp1p/2pP3P/1P1n1PR1/1Q4P1/P1P1PN2/RN1K1B2 w - - 4 20,b3d3,white,b3d3,211,232,21
4kbnr/rppqppp1/7p/pb6/PP1P1P1P/3PBN2/4KPPR/RN2QB2 b k - 2 17,a5b4,black,a5b4,-449,-482,-33
1n1qkb1r/1ppn2pp/3r1p2/1B1ppP2/P7/Bp3PNR/1QPP2PP/4K1NR w k - 1 18,b2b3,white,b5d7,362,352,-10
1nb1kb1r/2p2pp1/1p1Npq2/2Pp2n1/p4N1p/P7/1P1P2PP/R1BQKB1R b KQk - 0 15,c7d6,black,c7d6,71,60,-11
r1bqkbnr/p2pp1p1/Bp5p/2p1np2/4PN2/2P5/PP1PKPPP/RNBQ3R w kq - 0 7,a6c8,white,a6c8,136,116,-20
1rbq3r/1p1pk1p1/2np3p/p3pn2/4p3/2PP2P1/PP2NPBP/RN2R1K1 w - - 0 18,d3e4,white,d3e4,-547,-523,24
5knr/1p2p2B/p2qbp1b/2Pr2P1/3P4/P1P1PN2/1B2Q3/RN2K3 b Q - 0 25,d6g3,black,d6g3,223,241,18
rnb2bn1/3pk1p1/1ppqpp2/pB5r/1P2PP1P/B2P2R1/P1P5/RN1QK1N1 b Q - 1 17,h5b5,black,d6f4,238,233,-5
rn1k2nr/4p1bp/2p1b3/3p1pp1/pp1P2PP/R1PqB2N/4PP2/1N1QKBR1 w - - 0 16,d1d3,white,d1d3,483,498,15
1rbq2n1/2pp2p1/p1nb1kBr/2P1Npp1/1P3P1P/P3P3/6PB/RN3RK1 b - - 2 23,d6e5,black,d6e5,544,571,27
2b3r1/rp6/n1p2P1p/p3B1k1/PPP1p3/3Pn2P/4P3/RN2KBNR w - - 1 25,b1d2,white,d3e4,436,415,-21
r5n1/pppb1kbr/2n1ppq1/1P1p2P1/2P3P1/P2RP3/R2P4/1NBQKBN1 b - - 0 20,c6e5,black,h7h1,236,201,-35
rn1q1bnr/1b5p/ppk5/2Np4/2B2p2/1PP1P2Q/P2PKPR1/RNB5 w - - 1 18,h3e6,white,h3e6,435,429,-6
rnb2knr/pp4qp/3p1p1Q/N3b2P/1P1pP1R1/2PB1PP1/P7/R1B2KN1 b - - 3 22,g8h6,black,g8h6,350,334,-16
3knb1r/Npq1p2p/n2P1pp1/p1p5/P2P1P2/R3r2N/1PKQP1PP/2B2B1R b - - 5 16,e8d6,black,e8d6,-358,-371,-13
1nbrk3/2p5/rp2p2b/p2P1B1p/3P2pN/P1P1N1P1/1P3n2/R2Q1KR1 w - - 4 24,f5g6,white,f5g6,672,696,24
r1bqkb2/ppppp3/n4pp1/P2r1PP1/1PPPn2p/N7/2QBP2P/R3KBNR b KQ - 0 15,d5d4,black,d5d4,-198,-209,-11
1rb1qbnr/p1pkpppp/1p6/3p4/1n5P/2PPPP2/PP4P1/RNBQKBNR w KQ - 3 8,c3b4,white,c3b4,378,387,9
2r1kbn1/pp2q1pr/1n2pp1p/1P2p1P1/b1p1PP2/B2P4/P1PN1K1P/R1NQ3R b - - 3 21,e7a3,black,e7a3,454,465,11
rnbq1bnr/2ppk2p/8/pp2p1p1/2P2pP1/3P3N/PP2PP1P/RNBQKB1R w KQ - 2 9,f1g2,white,f1g2,160,185,25
rnbqkb1r/p1p1pppp/3p1n2/1p6/3N4/PP2P3/2PP1PPP/RNBQKB1R w KQkq - 0 6,f1b5,white,f1b5,166,168,2
r1bR4/pppp4/3k4/4N3/P1PPnp2/8/4P1PP/nNBQKBR1 w - - 1 19,d8e8,white,d1d3,1115,1195,80
rnb1k1nr/p2pbp1p/1p4p1/4P3/1p4q1/P3Q1PB/2PP4/RNB1K1NR w Qkq - 4 18,h3g4,white,h3g4,628,609,-19
r1q2knr/1pN2p1p/2n5/p2pp1p1/P2P4/bP5P/1BP2PP1/1RQ1KBNR b K - 4 13,a3b2,black,a3b2,-41,-44,-3
1nq5/r1ppk1b1/bp4n1/pP4pr/2P1p1Pp/N1BP1PNB/P2RK2P/6R1 w - - 12 26,g3f5,white,g3f5,-378,-396,-18
N2q2k1/pb4pr/1p1pp2n/5pb1/1BP1P2p/1P1P3P/P4PP1/RQ2KBNR b - - 6 22,g5f6,black,d8a8,-350,-366,-16
1n1qk2r/rp2b2p/p1pp1P2/4p3/2P3b1/P3Q2N/1P1PPP2/RNB1KB2 b Qk - 0 14,e7f6,black,e7f6,-261,-258,3
1nb2b1r/1p1pkpB1/r7/pNpP1qN1/1PP1B2P/4n2P/P2K1P2/R2QR3 b - - 4 22,f5f2,black,f5f2,-385,-348,37
1rbq2r1/p1pp1k1p/np4pn/b3p3/P3pQ2/5NP1/2PPKP1P/RNB2B1R b - - 3 15,e5f4,black,e5f4,757,750,-7
r5kr/P6p/3b3P/1qppp3/2P3PP/3PP3/R1N5/2BK1BNR w - - 2 26,c4b5,white,c4b5,878,917,39
3q1rk1/2pn3p/rp4Bb/p1Pp2p1/PPbQ1p2/4P1P1/RBP2P1P/1N2K1R1 b - - 4 18,f8f6,black,d7f6,102,132,30
2b2k1r/rp3ppp/2p1p1n1/3p4/Q2K3P/1PP3P1/P3B3/RNB3R1 b - - 0 21,a7a4,black,e6e5,-591,-588,3
r1b2b1r/pp1kn1p1/n4p1p/3ppP2/P1P3PP/4K2B/3NP2R/R1B3N1 b - - 3 19,d5d4,black,d5d4,268,257,-11
r3kb2/3nn1p1/p1p1bp2/p2Q1PNr/4p1Pp/2P4P/RP2P1K1/1NB2BR1 w q - 1 22,d5e6,white,d5e6,618,647,29
r1bq2nr/pp3kpp/3b4/n1P1pp2/P2p1P1P/2NPP2N/2P3P1/1RBQKB1R w K - 1 11,c5d6,white,h3g5,507,491,-16
rnbqk1nr/p1pp3p/4pppb/8/1p6/1P2PQ1P/P1PP1PP1/RNBK1BNR w kq - 0 7,f3a8,white,f3a8,396,404,8
1rb2bn1/p1pk1ppr/n6p/1pqpp3/3P3P/P2Q1N2/1PPBPPP1/RN2KB1R b Q - 3 12,e5e4,black,e5e4,-285,-261,24
r1b2nkr/pq2n3/5p2/B1bp3p/1p4PN/1P3PP1/PQPKP3/4RBNR w - - 0 22,b2f6,white,b2f6,197,234,37
r1bn3k/p1p1r1p1/3P1np1/RB5p/4P3/2PP3P/1P4PR/1NBK2Q1 b - - 0 22,c7d6,black,d8b7,-763,-776,-13
5kqb/1b5p/rPp1p3/3p1p1P/1P1n4/5PP1/PNQPP3/R2K1BNR w - - 1 26,c2c5,white,c2c5,460,427,-33
rnb1k2r/p1pp1ppp/1p2p3/5nq1/2Nb1B2/6P1/PPP1PP1P/R2QKBNR w KQkq - 2 8,f4g5,white,f4g5,586,580,-6
1nbk4/r4r2/pp1Pp2b/2P1P1Pp/3p1NP1/P7/3P3R/RNBQ1B1K b - - 0 23,h6g5,black,f7f4,-703,-715,-12
rnN1kB1r/3p1n2/2p1p2p/pP3p2/5N1q/P2P4/2P1PPPP/R2QKB1R b KQkq - 0 14,h4f4,black,h4f4,-427,-425,2
rnb2bn1/pBp1kppr/3p4/1N6/1P1PpPpP/P2q3R/2Q1PK2/R5N1 w - - 2 17,c2c7,white,c2c7,544,543,-1
rn3b1r/p2kppp1/P4n1p/1ppb4/5PPP/R1P1PN2/B1PP4/1NBKR3 b - - 1 21,d5f3,black,d5f3,504,499,-5
